id,current_department,previous_department,date_yearmonth
emp01,Dept A,Dept A,2021-11-01 00:00:00
emp01,Dept A,Dept A,2021-12-01 00:00:00
emp01,Dept A,Dept A,2022-01-01 00:00:00
emp01,Dept A,Dept A,2022-02-01 00:00:00
emp01,Dept A,Dept A,2022-03-01 00:00:00
emp01,Dept A,Dept A,2022-04-01 00:00:00
emp02,Dept A,Dept A,2021-11-01 00:00:00
emp02,Dept A,Dept A,2021-12-01 00:00:00
emp02,Dept B,Dept A,2022-01-01 00:00:00
emp02,Dept B,Dept B,2022-02-01 00:00:00
emp02,Dept B,Dept B,2022-03-01 00:00:00
emp02,Dept B,Dept B,2022-04-01 00:00:00
emp03,Dept A,Dept A,2021-11-01 00:00:00
emp03,Dept A,Dept A,2021-12-01 00:00:00
emp03,Dept A,Dept A,2022-01-01 00:00:00
emp03,Dept A,Dept A,2022-02-01 00:00:00
emp03,Dept A,Dept A,2022-03-01 00:00:00
emp03,Dept A,Dept A,2022-04-01 00:00:00
emp04,Dept A,Dept A,2021-11-01 00:00:00
emp04,Dept A,Dept A,2021-12-01 00:00:00
emp04,Dept A,Dept A,2022-01-01 00:00:00
emp04,Dept A,Dept A,2022-02-01 00:00:00
emp04,Dept A,Dept A,2022-03-01 00:00:00
emp04,Dept A,Dept A,2022-04-01 00:00:00
emp05,Dept A,Dept A,2021-11-01 00:00:00
emp05,Dept A,Dept A,2021-12-01 00:00:00
emp05,Dept A,Dept A,2022-01-01 00:00:00
emp05,Dept A,Dept A,2022-02-01 00:00:00
emp05,Dept A,Dept A,2022-03-01 00:00:00
emp05,Dept A,Dept A,2022-04-01 00:00:00
emp06,Dept A,Dept A,2021-11-01 00:00:00
emp06,Dept A,Dept A,2021-12-01 00:00:00
emp06,Dept A,Dept A,2022-01-01 00:00:00
emp06,Dept A,Dept A,2022-02-01 00:00:00
emp06,Dept A,Dept A,2022-03-01 00:00:00
emp06,Dept A,Dept A,2022-04-01 00:00:00
emp07,Dept A,Dept A,2021-11-01 00:00:00
emp07,Dept A,Dept A,2021-12-01 00:00:00
emp07,Dept A,Dept A,2022-01-01 00:00:00
emp07,Dept A,Dept A,2022-02-01 00:00:00
emp07,Dept A,Dept A,2022-03-01 00:00:00
emp07,Dept A,Dept A,2022-04-01 00:00:00
emp08,Dept A,Dept A,2021-11-01 00:00:00
emp08,Dept A,Dept A,2021-12-01 00:00:00
emp08,Dept A,Dept A,2022-01-01 00:00:00
emp08,Dept A,Dept A,2022-02-01 00:00:00
emp08,Dept A,Dept A,2022-03-01 00:00:00
emp08,Dept C,Dept A,2022-04-01 00:00:00
emp09,Dept A,Dept A,2021-11-01 00:00:00
emp09,Dept A,Dept A,2021-12-01 00:00:00
emp09,Dept A,Dept A,2022-01-01 00:00:00
emp09,Dept A,Dept A,2022-02-01 00:00:00
emp09,Dept A,Dept A,2022-03-01 00:00:00
emp09,Dept A,Dept A,2022-04-01 00:00:00
emp100,Dept A,Dept A,2022-02-01 00:00:00
emp100,Dept A,Dept D,2022-01-01 00:00:00
emp100,Dept D,Newcomer,2021-12-01 00:00:00
emp100,Left Company,Dept A,2022-03-01 00:00:00
emp101,Dept D,Newcomer,2021-12-01 00:00:00
emp101,Left Company,Dept D,2022-01-01 00:00:00
emp102,Dept A,Dept A,2022-03-01 00:00:00
emp102,Dept A,Dept A,2022-04-01 00:00:00
emp102,Dept A,Newcomer,2022-02-01 00:00:00
emp103,Dept A,Dept A,2022-03-01 00:00:00
emp103,Dept A,Dept A,2022-04-01 00:00:00
emp103,Dept A,Newcomer,2022-02-01 00:00:00
emp104,Dept A,Dept A,2022-03-01 00:00:00
emp104,Dept A,Dept A,2022-04-01 00:00:00
emp104,Dept A,Newcomer,2022-02-01 00:00:00
emp105,Dept D,Dept D,2022-03-01 00:00:00
emp105,Dept D,Dept D,2022-04-01 00:00:00
emp105,Dept D,Newcomer,2022-02-01 00:00:00
emp106,Dept B,Dept B,2022-04-01 00:00:00
emp106,Dept B,Newcomer,2022-03-01 00:00:00
emp11,Dept A,Dept A,2021-11-01 00:00:00
emp11,Dept A,Dept A,2021-12-01 00:00:00
emp11,Dept A,Dept A,2022-01-01 00:00:00
emp11,Dept A,Dept A,2022-02-01 00:00:00
emp11,Dept A,Dept A,2022-03-01 00:00:00
emp11,Dept A,Dept A,2022-04-01 00:00:00
emp12,Dept A,Dept A,2021-11-01 00:00:00
emp12,Dept A,Dept A,2021-12-01 00:00:00
emp12,Dept C,Dept A,2022-01-01 00:00:00
emp12,Dept C,Dept C,2022-02-01 00:00:00
emp12,Dept C,Dept C,2022-03-01 00:00:00
emp12,Dept C,Dept C,2022-04-01 00:00:00
emp13,Dept A,Dept A,2021-11-01 00:00:00
emp13,Dept A,Dept A,2021-12-01 00:00:00
emp13,Dept A,Dept A,2022-01-01 00:00:00
emp13,Dept A,Dept A,2022-02-01 00:00:00
emp13,Dept A,Dept A,2022-03-01 00:00:00
emp13,Dept A,Dept A,2022-04-01 00:00:00
emp14,Dept A,Dept A,2021-11-01 00:00:00
emp14,Dept A,Dept A,2021-12-01 00:00:00
emp14,Dept A,Dept A,2022-01-01 00:00:00
emp14,Dept A,Dept A,2022-02-01 00:00:00
emp14,Dept A,Dept A,2022-03-01 00:00:00
emp14,Dept A,Dept A,2022-04-01 00:00:00
emp15,Dept A,Dept A,2021-11-01 00:00:00
emp15,Dept A,Dept A,2021-12-01 00:00:00
emp15,Dept A,Dept A,2022-01-01 00:00:00
emp15,Dept A,Dept A,2022-02-01 00:00:00
emp15,Dept A,Dept A,2022-03-01 00:00:00
emp15,Dept A,Dept A,2022-04-01 00:00:00
emp16,Dept A,Dept A,2021-12-01 00:00:00
emp16,Dept A,Dept A,2022-01-01 00:00:00
emp16,Dept A,Dept A,2022-02-01 00:00:00
